judul,provinsi,id_teks,teks,referensi
Datuk Darah Puti,Aceh,12,"datuk darah putih segera mempersiapkan perbekalan, peralatan perang, dan strategi untuk menghadang belanda. sebelum berangkat, ia berpamitan kepada istrinya yang sedang hamil tua.","datuk darah putih langsung nyiapake perbekalan, peralatan perang, lan strategi kanggo nyegat walanda. sadurunge mangkat, dheweke pamitan marang garwane sing lagi ngandhut tua."
Datuk Darah Puti,Aceh,13,"dinda, jaga kesehatanmu dan anak kita. jika anak kita laki-laki, semoga ia tumbuh menjadi panglima pemberani seperti ayahnya, pesan datuk darah putih.","dinda, jaga kesehatanmu lan anak kita. yen anak kita lanang, muga-muga dheweke tuwuh dadi panglima pemberani kaya bapake, pesen datuk darah putih."
Datuk Darah Puti,Aceh,14,"keesokan harinya, rombongan berangkat menggunakan tiga jongkong (perahu besar) menuju pulau berhala. setibanya di sana, mereka membangun benteng pertahanan dan pos pengintaian untuk memantau kedatangan pasukan belanda.","esuke, rombongan mangkat nganggo telung jongkong (prahu gedhe) menyang pulo berhala. tekane ing kana, padha mbangun benteng pertahanan lan pos pengintaian kanggo ngawasi tekane pasukan walanda."
Datuk Darah Puti,Aceh,15,"hari berikutnya, pengintai melaporkan bahwa kapal belanda telah terlihat.","dina sabanjure, pengintai ngelaporake yen kapal walanda wis katon."
Datuk Darah Puti,Aceh,16,"prajurit-prajurit pilihanku, saatnya membuktikan keberanian kita. serang musuh tanpa rasa takut seru datuk darah putih.","prajurit-prajurit pilihanku, wektu iki wayahe mbuktekake keberanian kita. serang mungsuh tanpa rasa wedi seru datuk darah putih."
Datuk Darah Puti,Aceh,17,"pasukan kerajaan segera mendekati kapal belanda. dengan strategi yang matang, mereka berhasil menyerang dan menghancurkan kapal-kapal belanda. pasukan belanda yang tidak siap menghadapi serangan mendadak itu tewas tanpa sisa, sementara pasukan datuk darah putih hanya mengalami luka ringan.","pasukan karajan langsung nyedhaki kapal walanda. kanthi strategi sing mateng, padha kasil nyerang lan ngancurake kapal-kapal walanda. pasukan walanda sing ora siyap ngadhepi serangan dadakan kuwi mati tanpa sisa, dene pasukan datuk darah putih mung ngalami tatu ringan."
Datuk Darah Puti,Aceh,18,"namun, kemenangan ini belum usai. datuk darah putih memerintahkan pasukannya untuk berjaga-jaga karena kemungkinan adanya pasukan susulan.","nanging, kamenangan iki durung rampung. datuk darah putih marentah pasukane kanggo waspada amarga kemungkinan ana pasukan susulan."
Datuk Darah Puti,Aceh,19,"tiga hari kemudian, tiga kapal belanda dengan pasukan lebih besar tiba di selat berhala. meski kalah jumlah, datuk darah putih dan pasukannya tidak gentar.","telung dina sabanjure, telung kapal walanda kanthi pasukan luwih gedhe teka ing selat berhala. sanajan kalah jumlah, datuk darah putih lan pasukane ora wedi."
Datuk Darah Puti,Aceh,20,"pertempuran berlangsung sengit. datuk darah putih menjadi sasaran utama dan terluka parah di leher akibat serangan pedang. dengan sisanya tenaga, ia memerintahkan prajuritnya untuk membawanya mundur ke pulau berhala.","pertempuran lumaku sengit. datuk darah putih dadi sasaran utama lan tatu parah ing gulu amarga serangan pedhang. kanthi sisa tenaga, dheweke marentah prajurite kanggo nggawa mundur menyang pulo berhala."
Datuk Darah Puti,Aceh,21,"cari anak batu sengkalan untuk menghentikan pendarahan leherku, pintanya kepada prajuritnya.","golek anak watu sengkalan kanggo mandhegake pendarahan guluku, panjaluke marang prajurite."
Datuk Darah Puti,Aceh,22,"setelah batu sengkalan ditemukan dan ditempelkan pada luka, darah putihnya berhenti mengalir. dengan semangat yang kembali pulih, datuk darah putih memimpin pasukannya kembali ke medan perang.","sawise watu sengkalan ditemokake lan ditempelake ing tatu, getih putihe mandheg mili. kanthi semangat sing bali pulih, datuk darah putih mimpin pasukane bali menyang medan perang."
Datuk Darah Puti,Aceh,23,"pasukan kerajaan akhirnya berhasil menghancurkan kapal-kapal belanda dan mengusir penjajah dari selat berhala. namun, kemenangan ini harus dibayar mahal dengan kondisi datuk darah putih yang semakin melemah akibat luka-lukanya.","pasukan karajan pungkasane kasil ngancurake kapal-kapal walanda lan ngusir penjajah saka selat berhala. nanging, kamenangan iki kudu dibayar larang kanthi kondisi datuk darah putih sing saya lemes amarga tatu-tatue."
Datuk Darah Puti,Aceh,24,"dalam perjalanan pulang, kondisi datuk darah putih semakin memburuk. sesampainya di istana, ia disambut dengan penuh rasa duka. istrinya yang telah melahirkan seorang putra membawanya mendekatkan bayi mereka kepadanya.","ing perjalanan bali, kondisi datuk darah putih saya parah. tekane ing istana, dheweke disambut kanthi rasa duka. garwane sing wis nglairake putra nggawa bayi mau nyedhaki dheweke."
Datuk Darah Puti,Aceh,25,"kanda, lihatlah anak kita. ia sehat dan tampan seperti kakanda, ucap sang istri dengan nada menghibur.","kanda, delengen anak kita. dheweke sehat lan ganteng kaya kanda, ucap garwane kanthi nada nglipur."
Datuk Darah Puti,Aceh,26,"dengan sisa tenaganya, datuk darah putih mendekap putranya untuk terakhir kalinya.","kanthi sisa tenaga, datuk darah putih ngedekap putrane kanggo pungkasan kaline."
Datuk Darah Puti,Aceh,27,"dinda, maafkan aku. aku tidak bisa menemanimu membesarkan putra kita. besarkan dia menjadi laki-laki yang baik dan bijaksana, pesannya sebelum menghembuskan napas terakhir.","dinda, pangapura aku. aku ora bisa nemani kowe nggedhekake putra kita. gedhekna dheweke dadi lanang sing apik lan wicaksana, pesen dheweke sadurunge ngambusake napas pungkasan."
Datuk Darah Puti,Aceh,28,raja dan seluruh rakyat melepas kepergian hulubalang yang mereka banggakan dengan perasaan duka mendalam.,sang raja lan kabeh rakyat ngecul kepergian hulubalang sing dadi kebanggaane kanthi rasa duka sing jero.
