judul,provinsi,id_teks,teks,referensi
Batu Gantung Danau Toba,Sumatera Utara,26,"sang ayah kemudian mendekatkan obor ke dalam lubang dan mencoba memanggil anaknya. namun, seruni terus mengulang kata parapat berkali-kali.","bapake banjur nyedhaki bolongan kuwi karo nglempitake obor, nyoba nyeluk anake. tapi seruni terus ngulang tembung parapat bola-bali."
Batu Gantung Danau Toba,Sumatera Utara,27,"merasa putrinya dalam bahaya, sang ayah bersiap untuk melompat ke dalam lubang, tetapi istrinya segera menahannya.","rumangsa anake lagi kaancam, bapake siap arep mlumpat mlebu bolongan, nanging ibune langsung nyegah."
Batu Gantung Danau Toba,Sumatera Utara,28,"tiba-tiba, terdengar suara gemuruh. tanah di sekitar mereka mulai berguncang hebat, seakan-akan dunia akan runtuh.","tiba-tiba, ana swara gemuruh. lempung sakubenge padha gumuruh, kaya bumi arep ambruk."
Batu Gantung Danau Toba,Sumatera Utara,29,lubang batu tempat seruni terperangkap perlahan menutup dengan sendirinya.,bolongan watu sing dadi panggonane seruni kuwi alon-alon nutup dhewe.
Batu Gantung Danau Toba,Sumatera Utara,30,"tak hanya itu, tebing-tebing batu di pinggir danau toba mulai runtuh satu per satu. para penduduk berlarian ke sana kemari menyelamatkan diri.","ora mung kuwi, tebing-tebing watu pinggir danau toba padha ambrol siji-sijine. warga padha mlayu ngadoh kanggo nylametke awake dhewe."
Batu Gantung Danau Toba,Sumatera Utara,31,"di tengah kekacauan itu, tidak ada yang sempat menyelamatkan seruni.","ing tengah kekisruhan kuwi, ora ana siji wae sing isa nylametke seruni."
Batu Gantung Danau Toba,Sumatera Utara,32,"seruni akhirnya terhimpit batu-batu cadas di dalam lubang, tak dapat diselamatkan.","seruni pungkasane kepencet watu-watu gedhe ing njero bolongan, ora bisa diselametke."
Batu Gantung Danau Toba,Sumatera Utara,33,"ketika gempa berhenti, tiba-tiba sebuah batu besar muncul di tebing danau toba.","nalika lempung mandheg, dumadakan ana watu gedhe muncul ana ing tebing danau toba."
Batu Gantung Danau Toba,Sumatera Utara,34,batu itu memiliki bentuk menyerupai tubuh seorang wanita dan tergantung di tepi tebing.,"watu kuwi wujude kaya awake wong wadon, menggantung ana pinggir tebing."
Batu Gantung Danau Toba,Sumatera Utara,35,"masyarakat percaya bahwa batu tersebut adalah penjelmaan seruni, yang terperangkap di dalam batu selamanya.","warga percaya yen watu kuwi wujude seruni, sing kapendem ing watu selawase."
Batu Gantung Danau Toba,Sumatera Utara,36,"sejak saat itu, batu tersebut dikenal dengan nama batu gantungâkarena posisinya yang menggantung di tepi tebing danau toba.","wiit saka kuwi, watu kuwi dijenengi batu gantung, merga posisine menggantung ana ing pinggir tebing danau toba."
